"contrast","estimate","SE","df","t.ratio","p.value","Significant"
"L ONOFF0 - R ONOFF0",9.95882089085729,8.4586081649717,34.3014458858213,1.17735928850543,0.644935823298818,"NS"
"L ONOFF0 - L ONOFF1",18.1759263844998,8.01474134789644,130.999999999999,2.26781197240635,0.110960279772904,"NS"
"L ONOFF0 - R ONOFF1",15.3153287274643,8.4586081649717,34.3014458858215,1.81062042699734,0.285888183257035,"NS"
"R ONOFF0 - L ONOFF1",8.21710549364248,8.4586081649717,34.3014458858218,0.971448887734353,0.76641775497064,"NS"
"R ONOFF0 - R ONOFF1",5.35650783660698,4.78972407771057,131,1.1183332796839,0.678914068557768,"NS"
"L ONOFF1 - R ONOFF1",-2.86059765703549,8.4586081649717,34.3014458858218,-0.338187749242439,0.986449037599941,"NS"
